Protein IDs	Peptide counts (razor+unique)	Unique peptides	Peptides Walker TMT16	Unique peptides Walker TMT16	Q-value	Score	Identification type Walker TMT16	Reporter intensity corrected 1 Walker TMT16	Reporter intensity corrected 2 Walker TMT16	Reporter intensity corrected 3 Walker TMT16	Reporter intensity corrected 4 Walker TMT16	Reporter intensity corrected 5 Walker TMT16	Reporter intensity corrected 6 Walker TMT16	Reporter intensity corrected 7 Walker TMT16	Reporter intensity corrected 8 Walker TMT16	Reporter intensity corrected 9 Walker TMT16	Reporter intensity corrected 10 Walker TMT16	Reporter intensity corrected 11 Walker TMT16	Reporter intensity corrected 12 Walker TMT16	Reporter intensity corrected 13 Walker TMT16	Reporter intensity corrected 14 Walker TMT16	Reporter intensity corrected 15 Walker TMT16	Reporter intensity corrected 16 Walker TMT16	Only identified by site	Reverse	Potential contaminant	Peptide IDs
AT1G01050.1;AT4G01480.1	2;1	2	4	2	0	12.363	By MS/MS	47324	47225	53806	50983	45463	44149	44013	41590	44364	48307	42546	50268	42605	46943	38974	42005				983;6450;9518;9728
AT1G01080.1;AT1G01080.2	6;6	6	6	6	0	60.85	By MS/MS	540690	517500	579820	584090	504610	483810	497170	480080	517760	534430	462470	494670	476200	576900	523620	488760				2511;6546;8462;15689;21048;21750
AT1G01090.1	14	14	14	14	0	162.41	By MS/MS	549470	520530	684550	630640	541980	516020	579210	469950	580910	576570	450160	564270	525860	729900	607030	554620				2063;3457;4465;6989;7441;7562;7760;7761;9152;10650;15266;15540;16350;17181
AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	4;4;4;2	3	3	3	0	114.76	By MS/MS	681550	598390	701270	676900	632710	569940	582820	550100	615700	634090	513990	597720	599210	715270	703430	564190				107;14653;15693;17525
AT1G01170.2;AT1G01170.1	2;2	2	2	2	0	15.006	By MS/MS	71278	63448	81337	71617	59285	54661	63053	63132	63793	61160	55868	67985	56635	72906	64608	58368				9361;17784
AT1G01300.1	4	4	4	4	0	33.246	By MS/MS	87731	98024	90013	85126	79665	69288	79047	81005	83916	86535	77614	85072	73424	91857	82946	81577				7016;15984;20372;20426
AT1G01320.2;AT1G01320.1	18;18	18	23	18	0	271.3	By MS/MS	372160	376820	506690	438680	367130	321230	370490	312950	398740	410970	324680	433520	333000	439690	412200	327650				686;1163;1559;2811;2812;3770;5574;5655;6533;9165;11467;11468;12725;12933;12948;14273;14592;17777;18036;18621;18647;19459;20210
AT1G01370.2;AT1G01370.1	2;2	2	2	2	0	35.605	By MS/MS	7683	7326.5	8958	7624.4	5881.3	5232.3	6883.3	5795.4	6809.7	7764.5	4516.4	5980.9	4991.7	7211.1	5241.4	5372.4				7647;14472
AT1G01420.1	1	1	3	1	0.0015207	6.7517	By MS/MS	18044	18216	18799	17300	16956	18326	17671	18232	19674	19209	17185	15952	15811	15949	17046	17490				8032;10073;11354
AT1G01470.1	3	3	3	3	0	30.158	By MS/MS	188140	159940	177910	176440	172630	141970	150320	151700	155900	177440	153570	153170	135010	170340	156100	167640				1094;3659;12823
