From	Entry	Entry Name	Gene Names	Protein names	EC number	Reviewed
AT1G01050	Q93V56	IPYR1_ARATH	PPA1 At1g01050 T25K16.5	Soluble inorganic pyrophosphatase 1 (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 1) (PPase 1)	3.6.1.1	reviewed
AT1G01080	A0A178W030	A0A178W030_ARATH	At1g01080 AXX17_At1g00080 AN1_LOCUS136	RRM domain-containing protein		unreviewed
AT1G01080	A0A1P8APK3	A0A1P8APK3_ARATH	At1g01080 T25K16.19 T25K16_19	RNA-binding (RRM/RBD/RNP motifs) family protein		unreviewed
AT1G01080	F4HQH8	F4HQH8_ARATH	At1g01080 T25K16.19 T25K16_19	RNA-binding (RRM/RBD/RNP motifs) family protein		unreviewed
AT1G01090	O24457	ODPA3_ARATH	PDH-E1 ALPHA At1g01090 T25K16.8	Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic (EC 1.2.4.1)	1.2.4.1	reviewed
AT1G01100	Q8LCW9	RLA11_ARATH	RPP1A At1g01100 T25K16.9	Large ribosomal subunit protein P1w (60S acidic ribosomal protein P1-1)		reviewed
AT1G01100	A8MQK8	A8MQK8_ARATH	RPP1A At1g01100 T25K16.9 T25K16_9	60S acidic ribosomal protein family		unreviewed
AT1G01170	A0A178WGM0	A0A178WGM0_ARATH	At1g01170 AXX17_At1g00180 AT9943_LOCUS14	(thale cress) hypothetical protein		unreviewed
AT1G01200	Q9LNK1	RABA3_ARATH	RABA3 At1g01200 F6F3.1	Ras-related protein RABA3 (AtRABA3)		reviewed
AT1G01300	Q9LNJ3	APF2_ARATH	APF2 At1g01300 F6F3.10	Aspartyl protease family protein 2 (EC 3.4.23.-)	3.4.23.-	reviewed
AT1G01320	F4HS99	REC1_ARATH	REC1 At1g01320 F6F3.12	Protein REDUCED CHLOROPLAST COVERAGE 1		reviewed
AT1G01320	A0A1P8AR50	A0A1P8AR50_ARATH	REC1 At1g01320 F6F3.12 F6F3_12	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G01320	F4HS98	F4HS98_ARATH	REC1 At1g01320 F6F3.12 F6F3_12	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G01370	Q8RVQ9	CENH3_ARATH	CENH3 HTR12 At1g01370 F6F3.17	Histone H3-like centromeric protein CENH3 (Centromeric histone CENH3) (Centromeric histone H3) (Histone H3-like centromeric protein HTR12)		reviewed
AT1G01420	Q9LNI1	U72B3_ARATH	UGT72B3 At1g01420 F6F3.22	UDP-glycosyltransferase 72B3 (EC 2.4.1.-)	2.4.1.-	reviewed
AT1G01420	A0A1P8AUD8	A0A1P8AUD8_ARATH	UGT72B3 UDP-glucosyl transferase 72B3 At1g01420 F6F3.22 F6F3_22	Glycosyltransferase (EC 2.4.1.-)	2.4.1.-	unreviewed
AT1G01470	O03983	LEA14_ARATH	LEA14 At1g01470 F22L4.3	Probable desiccation-related protein LEA14		reviewed
AT1G01490	O03982	HIP39_ARATH	HIPP39 At1g01490 F22L4.5	Heavy metal-associated isoprenylated plant protein 39 (AtHIP39)		reviewed
AT1G01490	A0A1P8AS50	A0A1P8AS50_ARATH	At1g01490 F22L4.5 F22L4_5	Heavy metal transport/detoxification superfamily protein		unreviewed
AT1G01490	A0A1P8AS52	A0A1P8AS52_ARATH	At1g01490 F22L4.5 F22L4_5	Heavy metal transport/detoxification superfamily protein		unreviewed
AT1G01510	O23702	CTBP_ARATH	AN DOQ At1g01510 F22L4.6	C-terminal binding protein AN (CtBP) (Protein ANGUSTIFOLIA) (Protein DETORQUEO)		reviewed
AT1G01560	Q9LMM5	MPK11_ARATH	MPK11 At1g01560 F22L4.10	Mitogen-activated protein kinase 11 (AtMPK11) (MAP kinase 11) (EC 2.7.11.24)	2.7.11.24	reviewed
AT1G01560	A0A1P8ASZ4	A0A1P8ASZ4_ARATH	MPK11 ATMPK11 MAP kinase 11 At1g01560 F22L4.10 F22L4_10	Mitogen-activated protein kinase (EC 2.7.11.24)	2.7.11.24	unreviewed
AT1G01600	Q9LMM1	C86A4_ARATH	CYP86A4 At1g01600 F22L4.14	Cytochrome P450 86A4 (EC 1.14.14.1)	1.14.14.1	reviewed
AT1G01610	Q9LMM0	GPAT4_ARATH	GPAT4 At1g01610 F22L4.15	Glycerol-3-phosphate 2-O-acyltransferase 4 (AtGPAT4) (EC 2.3.1.198) (Glycerol-3-phosphate acyltransferase 4)	2.3.1.198	reviewed
AT1G01620	Q08733	PIP13_ARATH	PIP1-3 PIP1C TMPB At1g01620 F22L4.16	Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B)		reviewed
AT1G01620	A8MSF6	A8MSF6_ARATH	PIP1C PIP1:3 TMP-B At1g01620 F22L4.16 F22L4_16	Plasma membrane intrinsic protein 1C		unreviewed
AT1G01710	F4HU51	ACH2_ARATH	ACH2 At1g01710 T1N6.10 T1N6.9	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)	3.1.2.2; 3.1.2.20	reviewed
AT1G01725	A0A178WIF8	A0A178WIF8_ARATH	At1g01725 AXX17_At1g00840 AN1_LOCUS206	Transmembrane protein		unreviewed
AT1G01730	Q9LQ83	Q9LQ83_ARATH	At1g01730 T1N6.14 T1N6_14	T1N6.14 protein		unreviewed
AT1G01740	F4HU55	BSK4_ARATH	BSK4 At1g01740 T1N6.15	Serine/threonine-protein kinase BSK4 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 4)	2.7.11.1	reviewed
AT1G01740	A0A178WBE7	A0A178WBE7_ARATH	BSK4 At1g01740 T1N6.15 T1N6_15	Serine/threonine-protein kinase BSK (EC 2.7.11.1) (Brassinosteroid-signaling kinase)	2.7.11.1	unreviewed
AT1G01740	A0A1P8AT62	A0A1P8AT62_ARATH	BSK4 At1g01740 T1N6.15 T1N6_15	Serine/threonine-protein kinase BSK (EC 2.7.11.1) (Brassinosteroid-signaling kinase)	2.7.11.1	unreviewed
AT1G01780	Q1ECF5	PLI2B_ARATH	PLIM2B At1g01780 T1N6.19	LIM domain-containing protein PLIM2b (Pollen-expressed LIM protein 2B)		reviewed
AT1G01790	Q9ZTZ7	KEA1_ARATH	KEA1 At1g01790 T1N6.20/T1N6.21	K(+) efflux antiporter 1, chloroplastic (AtKEA1)		reviewed
AT1G01800	A0A178WIX4	A0A178WIX4_ARATH	At1g01800 AXX17_At1g00930 C24_LOCUS122	NAD(P)-binding Rossmann-fold superfamily protein		unreviewed
AT1G01800	A8MQD9	A8MQD9_ARATH	At1g01800 T1N6.22 T1N6_22	NAD(P)-binding Rossmann-fold superfamily protein		unreviewed
AT1G01910	Q949M9	GET3A_ARATH	GET3A At1g01910 F22M8.4	ATPase GET3A (AtGET3A) (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins 3 homolog A)	3.6.-.-	reviewed
AT1G01910	B3H5S5	B3H5S5_ARATH	GET3A At1g01910 F22M8.4 F22M8_4	P-loop containing nucleoside triphosphate hydrolases superfamily protein		unreviewed
AT1G01910	F4HU77	F4HU77_ARATH	GET3A At1g01910 F22M8.4 F22M8_4	P-loop containing nucleoside triphosphate hydrolases superfamily protein		unreviewed
AT1G01940	Q9LPC7	CP18A_ARATH	CYP18-1 At1g01940 F22M8.7	Peptidyl-prolyl cis-trans isomerase CYP18-1 (PPIase CYP18-1) (EC 5.2.1.8) (Cyclophilin of 18 kDa 1) (Cyclophilin-18-1)	5.2.1.8	reviewed
AT1G01960	Q9LPC5	BIG3_ARATH	BIG3 EDA10 At1g01960 F22M8.9	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (BIG3) (ARF guanine-nucleotide exchange factor BIG3) (Protein EMBRYO SAC DEVELOPMENT ARREST 10)		reviewed
AT1G01970	Q9LPC4	PPR1_ARATH	At1g01970 F22M8.10	Pentatricopeptide repeat-containing protein At1g01970		reviewed
AT1G01980	Q9LPC3	BBE1_ARATH	SEC1A At1g01980 F22M8.11	Berberine bridge enzyme-like 1 (AtBBE-like 1) (EC 1.1.1.-) (Protein SIMILAR TO ELECTRON CAREER 1A) (AtSEC1A)	1.1.1.-	reviewed
AT1G02000	Q9LPC1	GAE2_ARATH	GAE2 At1g02000 F22M8.13	UDP-glucuronate 4-epimerase 2 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 2)	5.1.3.6	reviewed
AT1G02080	A0A1P8ARB7	A0A1P8ARB7_ARATH	NOT1 At1g02080 T7I23.15 T7I23_15	Transcription regulator		unreviewed
AT1G02080	F4HVV6	F4HVV6_ARATH	NOT1 At1g02080 T7I23.15 T7I23_15	Transcription regulator		unreviewed
AT1G02080	F4HVV7	F4HVV7_ARATH	NOT1 At1g02080 T7I23.15 T7I23_15	Transcription regulator		unreviewed
AT1G02090	Q94JU3	CSN7_ARATH	CSN7 FUS5 At1g02090 T7I23.24 T7I23.25	COP9 signalosome complex subunit 7 (CSN complex subunit 7) (Protein FUSCA 5)		reviewed
AT1G02090	A0A178W6J6	A0A178W6J6_ARATH	At1g02090 AXX17_At1g01210	FUS5		unreviewed
AT1G02120	F4HVW5	VAD1_ARATH	VAD1 At1g02120 T7I23.28	Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic		reviewed
AT1G02120	A0A1P8AQ01	A0A1P8AQ01_ARATH	VAD1 VASCULAR ASSOCIATED DEATH1 At1g02120 T7I23.28 T7I23_28	GRAM domain family protein		unreviewed
AT1G02120	A0A1P8AQ22	A0A1P8AQ22_ARATH	VAD1 VASCULAR ASSOCIATED DEATH1 At1g02120 T7I23.28 T7I23_28	GRAM domain family protein		unreviewed
AT1G02130	P28188	RAD2A_ARATH	RABD2A ARA-5 RAB1B At1g02130 T7I23.6	Ras-related protein RABD2a (AtRABD2a) (Ras-related protein Ara-5) (Ras-related protein Rab1B) (AtRab1B)		reviewed
AT1G02140	O23676	MGN_ARATH	MAGO At1g02140 T7I23.7	Protein mago nashi homolog (AtMAGO)		reviewed
AT1G02150	Q8LPS6	PPR3_ARATH	At1g02150 T6A9.13 T7I23.8	Pentatricopeptide repeat-containing protein At1g02150		reviewed
AT1G02170	Q7XJE6	MCA1_ARATH	AMC1 LOL3 MCP1B At1g02170 T7I23.17	Metacaspase-1 (AtMC1) (EC 3.4.22.-) (Metacaspase 1b) (AtMCP1b) (Protein LSD ONE LIKE 3)	3.4.22.-	reviewed
AT1G02205	F4HVY0	CER1_ARATH	CER1 At1g02205 T7I23.10	Very-long-chain aldehyde decarbonylase CER1 (EC 4.1.99.5) (Protein ECERIFERUM 1)	4.1.99.5	reviewed
AT1G02205	A0A1P8AN63	A0A1P8AN63_ARATH	CER1 CER22 ECERIFERUM 1 ECERIFERUM 22 At1g02200 At1g02205 T6A9.16	Fatty acid hydroxylase superfamily		unreviewed
AT1G02205	A0A1P8AN85	A0A1P8AN85_ARATH	CER1 CER22 ECERIFERUM 1 ECERIFERUM 22 At1g02200 At1g02205 T6A9.16	Fatty acid hydroxylase superfamily		unreviewed
AT1G02280	O23680	TOC33_ARATH	TOC33 PPI1 At1g02280 T7I23.11	Translocase of chloroplast 33, chloroplastic (AtToc33) (EC 3.6.5.-) (33 kDa chloroplast outer envelope protein) (Plastid protein import 1)	3.6.5.-	reviewed
AT1G02305	Q93VC9	CATB2_ARATH	CATHB2 At1g02305	Cathepsin B-like protease 2 (EC 3.4.22.-) (Cathepsin B2) (AtCathB2)	3.4.22.-	reviewed
AT1G02335	Q9FZ27	GL22_ARATH	At1g02335 T6A9.29 T6A9.3	Germin-like protein subfamily 2 member 2		reviewed
AT1G02410	Q8GWR0	COX11_ARATH	COX11 At1g02410 T6A9.10	Cytochrome c oxidase assembly protein COX11, mitochondrial		reviewed
AT1G02475	Q94K52	Q94K52_ARATH	At1g02475	Polyketide cyclase/dehydrase and lipid transport superfamily protein		unreviewed
AT1G02500	P23686	METK1_ARATH	SAM1 At1g02500 T14P4.17 T14P4_22	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	2.5.1.6	reviewed
AT1G02560	Q9S834	CLPP5_ARATH	CLPP5 NCLPP1 NCLPP5 At1g02560 T14P4.12	ATP-dependent Clp protease proteolytic subunit 5, chloroplastic (EC 3.4.21.92) (Endopeptidase ClpP5) (nClpP5) (nClpP1)	3.4.21.92	reviewed
AT1G02620	Q3E6Q3	Q3E6Q3_ARATH	At1g02620 T14P4.21 T14P4_21	Ras-related small GTP-binding family protein		unreviewed
AT1G02640	Q94KD8	BXL2_ARATH	BXL2 At1g02640 T14P4.11 T14P4.8	Probable beta-D-xylosidase 2 (AtBXL2) (EC 3.2.1.-)	3.2.1.-	reviewed
AT1G02680	Q6NQH4	TAF13_ARATH	TAF13 At1g02680	Transcription initiation factor TFIID subunit 13 (TBP-associated factor 13) (AtTAF13)		reviewed
